Brand,Model,Processor,RAM_GB,Storage_GB,GPU,Screen_Size,Weight_kg,Launch_Year,Customer_Rating,Review_Count,Demand_Index,Competitor_Price,Price
Dell,Model_37,Ryzen 7,64.0,2048.0,NVIDIA RTX 3060,17.3,1.93,2024,4.6,1985.0,58,2950.0,533.38
Dell,Model_38,i7,64.0,512.0,NVIDIA RTX 3050,15.6,1.71,2021,5.0,1667.0,23,529.0,300.0
Lenovo,Model_39,M2,16.0,512.0,NVIDIA RTX 3050,15.6,1.14,2022,3.1,2551.0,49,996.0,300.0
Lenovo,Model_40,Ryzen 7,16.0,256.0,NVIDIA RTX 3070,13.3,2.49,2020,2.6,3085.0,49,2358.0,300.0
MSI,Model_41,Ryzen 7,8.0,1024.0,NVIDIA RTX 3070,17.3,1.56,2018,3.5,3174.0,41,1905.0,317.98
HP,Model_42,i3,32.0,512.0,AMD Radeon RX 6600M,16.0,1.6,2020,2.8,2976.0,94,1261.0,300.0
Razer,Model_43,i9,4.0,2048.0,NVIDIA RTX 3050,17.3,3.13,2019,2.6,2063.0,85,1398.0,300.0
Apple,Model_44,Ryzen 7,64.0,256.0,AMD Radeon RX 6600M,14.0,1.61,2020,3.4,297.0,31,2772.0,428.9
Apple,Model_45,Ryzen 7,8.0,256.0,AMD Radeon RX 6600M,16.0,1.52,2021,4.5,3227.0,55,2895.0,346.3
Razer,Model_46,Ryzen 5,4.0,2048.0,NVIDIA RTX 3070,15.6,1.26,2018,3.9,3864.0,37,1951.0,363.41
MSI,Model_47,i3,8.0,1024.0,NVIDIA RTX 3060,16.0,2.47,2020,3.3,1457.0,72,2040.0,384.7
Acer,Model_48,M1,16.0,2048.0,AMD Radeon RX 6600M,15.6,2.46,2018,4.1,617.0,90,1911.0,416.21
Acer,Model_49,Ryzen 5,64.0,1024.0,Integrated,15.6,2.73,2018,3.1,4562.0,20,2136.0,327.25
MSI,Model_50,Ryzen 5,4.0,2048.0,NVIDIA RTX 3060,16.0,1.92,2019,2.5,1774.0,77,1849.0,468.37
Acer,Model_51,Ryzen 9,4.0,2048.0,NVIDIA RTX 3050,15.6,1.41,2019,4.4,1235.0,25,2257.0,467.85
Lenovo,Model_52,i9,4.0,128.0,NVIDIA RTX 3050,15.6,2.63,2021,4.1,1245.0,89,664.0,300.0
Apple,Model_53,Ryzen 7,4.0,256.0,AMD Radeon RX 6600M,14.0,1.54,2022,4.4,1039.0,63,1862.0,343.31
MSI,Model_54,i9,4.0,2048.0,NVIDIA RTX 3060,17.3,1.5,2024,2.6,2681.0,91,556.0,327.64
Apple,Model_55,i7,8.0,2048.0,NVIDIA RTX 3070,17.3,2.42,2018,4.6,3972.0,43,1845.0,300.0
Razer,Model_56,Ryzen 9,64.0,512.0,NVIDIA RTX 3070,14.0,3.22,2022,4.0,4552.0,38,2698.0,539.9
Dell,Model_57,M1,16.0,256.0,NVIDIA RTX 3080,16.0,2.69,2024,3.9,4940.0,37,2032.0,300.0
Lenovo,Model_58,i9,16.0,512.0,NVIDIA RTX 3050,13.3,1.35,2024,4.1,3187.0,49,2977.0,349.14
Asus,Model_59,i5,16.0,256.0,NVIDIA GTX 1650,13.3,1.88,2021,4.7,3732.0,61,2774.0,362.48
Lenovo,Model_60,i7,16.0,512.0,NVIDIA RTX 3080,13.3,0.91,2024,4.0,4916.0,52,1294.0,300.0
MSI,Model_61,i3,8.0,2048.0,NVIDIA RTX 3070,14.0,0.82,2024,4.0,1485.0,93,2544.0,487.97
Asus,Model_62,M1,32.0,2048.0,NVIDIA RTX 3060,14.0,2.37,2018,5.0,2906.0,31,912.0,379.41
Dell,Model_63,i7,64.0,128.0,NVIDIA RTX 3070,15.6,1.47,2018,4.4,818.0,46,615.0,300.0
MSI,Model_64,Ryzen 9,4.0,512.0,NVIDIA RTX 3060,13.3,2.69,2023,3.6,988.0,58,2572.0,434.66
HP,Model_65,Ryzen 5,32.0,1024.0,NVIDIA RTX 3080,16.0,3.1,2022,4.3,2473.0,28,2106.0,300.0
Apple,Model_66,Ryzen 5,16.0,128.0,NVIDIA RTX 3050,16.0,2.65,2020,3.5,735.0,40,2506.0,351.76
Dell,Model_67,Ryzen 9,32.0,512.0,NVIDIA RTX 3070,13.3,1.2,2019,3.1,2511.0,95,1967.0,300.0
Apple,Model_68,,,,,13.3,1.37,2020,,,48,,470.44
Acer,Model_69,Ryzen 5,4.0,128.0,NVIDIA RTX 3060,13.3,2.59,2022,4.8,1226.0,52,2731.0,406.21
HP,Model_70,i3,4.0,2048.0,NVIDIA RTX 3050,14.0,1.66,2019,4.8,4061.0,81,2553.0,512.9
HP,Model_71,i3,64.0,512.0,NVIDIA GTX 1650,14.0,1.65,2020,3.4,2207.0,34,1528.0,335.15
Dell,Model_72,i5,64.0,2048.0,NVIDIA RTX 3060,14.0,1.54,2023,3.8,2816.0,21,627.0,300.0
HP,Model_73,,,,,17.3,1.64,2019,,,71,,99999.0
Asus,Model_74,M2,4.0,2048.0,NVIDIA GTX 1650,16.0,1.17,2018,5.0,982.0,63,1887.0,400.52
HP,Model_75,M1,32.0,256.0,NVIDIA GTX 1650,16.0,2.01,2020,5.0,2820.0,73,1201.0,308.68
Apple,Model_76,,,,,15.6,1.79,2019,,,37,,387.57
Apple,Model_77,i3,8.0,512.0,NVIDIA RTX 3070,14.0,1.82,2023,4.5,608.0,22,2305.0,300.0
MSI,Model_78,Ryzen 9,64.0,1024.0,NVIDIA RTX 3060,17.3,2.97,2024,4.3,3351.0,26,871.0,300.0
Apple,Model_79,Ryzen 5,16.0,2048.0,NVIDIA GTX 1650,17.3,2.35,2019,4.0,234.0,62,1479.0,300.0
MSI,Model_80,Ryzen 7,8.0,512.0,Integrated,16.0,2.86,2019,2.6,850.0,57,2460.0,439.4
Apple,Model_81,Ryzen 9,4.0,2048.0,NVIDIA RTX 3080,14.0,1.07,2023,3.6,1824.0,56,1441.0,300.0
Asus,Model_82,i7,64.0,256.0,NVIDIA RTX 3050,15.6,1.34,2024,4.2,4819.0,77,2560.0,501.1
Razer,Model_83,i7,32.0,128.0,AMD Radeon RX 6600M,14.0,1.74,2020,4.2,1116.0,52,628.0,300.0
MSI,Model_84,,,,,13.3,2.62,2021,,,78,,300.0
Lenovo,Model_85,Ryzen 7,32.0,256.0,NVIDIA RTX 3060,14.0,1.14,2020,4.9,3256.0,30,694.0,300.0
Acer,Model_86,M2,64.0,256.0,NVIDIA GTX 1650,13.3,1.8,2024,2.9,2941.0,87,588.0,300.0
Dell,Model_87,Ryzen 5,64.0,512.0,AMD Radeon RX 6600M,13.3,1.34,2022,3.8,4135.0,87,825.0,378.93
Apple,Model_88,i3,64.0,2048.0,NVIDIA RTX 3070,15.6,3.13,2023,4.2,2981.0,41,1376.0,300.0
HP,Model_89,i9,32.0,256.0,AMD Radeon RX 6600M,16.0,1.99,2020,4.2,2027.0,85,1502.0,300.0
Razer,Model_90,Ryzen 5,32.0,1024.0,AMD Radeon RX 6600M,14.0,2.18,2019,4.1,2425.0,63,1318.0,300.0
Apple,Model_91,Ryzen 5,64.0,256.0,AMD Radeon RX 6600M,13.3,2.35,2023,3.2,4600.0,25,898.0,300.0
HP,Model_92,Ryzen 9,8.0,2048.0,Integrated,14.0,1.85,2018,2.9,3106.0,61,2221.0,300.0
Acer,Model_93,i9,16.0,2048.0,NVIDIA GTX 1650,16.0,1.81,2024,4.1,1619.0,44,1265.0,373.94
Acer,Model_94,i3,16.0,1024.0,NVIDIA RTX 3070,16.0,1.97,2020,4.0,727.0,76,1225.0,431.53
Acer,Model_95,Ryzen 5,16.0,256.0,NVIDIA GTX 1650,17.3,1.06,2023,2.9,3571.0,74,2258.0,356.61
HP,Model_96,Ryzen 9,32.0,2048.0,NVIDIA RTX 3060,16.0,2.45,2020,4.3,1026.0,35,2518.0,449.29
Apple,Model_97,Ryzen 7,32.0,512.0,NVIDIA RTX 3060,15.6,0.7,2023,3.6,3575.0,33,2695.0,300.0
Acer,Model_98,Ryzen 5,8.0,128.0,NVIDIA RTX 3060,13.3,1.23,2019,4.2,4711.0,58,545.0,300.0
Asus,Model_99,i9,16.0,128.0,NVIDIA RTX 3080,17.3,1.55,2018,4.6,4480.0,47,2041.0,300.0
MSI,Model_100,i5,16.0,128.0,AMD Radeon RX 6600M,15.6,1.11,2018,2.9,1970.0,70,1719.0,300.0
HP,Model_101,i9,64.0,256.0,NVIDIA RTX 3080,14.0,2.56,2022,2.5,1058.0,68,869.0,334.92
HP,Model_102,i7,32.0,1024.0,Integrated,13.3,1.77,2023,4.4,1367.0,28,592.0,300.0
Apple,Model_103,i3,16.0,2048.0,NVIDIA RTX 3060,16.0,1.74,2020,4.0,3436.0,77,1491.0,628.51
HP,Model_104,,,,,13.3,0.9,2018,,,64,,150000.0
HP,Model_105,Ryzen 5,1024.0,512.0,NVIDIA GTX 1650,14.0,1.14,2024,4.6,2105.0,41,451.0,300.0
Acer,Model_106,i9,16.0,256.0,AMD Radeon RX 6600M,17.3,1.86,2018,4.5,1811.0,51,2810.0,300.0
Apple,Model_107,M1,32.0,128.0,NVIDIA RTX 3050,17.3,2.75,2021,4.9,2156.0,88,2220.0,300.0
Acer,Model_108,Ryzen 9,8.0,256.0,NVIDIA RTX 3070,17.3,2.54,2021,3.8,1630.0,88,2921.0,440.39
MSI,Model_109,i5,64.0,1024.0,AMD Radeon RX 6600M,16.0,1.0,2018,3.7,4790.0,61,2269.0,449.37
Razer,Model_110,i3,8.0,1024.0,NVIDIA RTX 3080,15.6,1.96,2023,3.5,2960.0,72,2968.0,300.0
MSI,Model_111,i9,4.0,2048.0,NVIDIA RTX 3080,15.6,1.31,2022,2.9,3802.0,78,2186.0,429.55
Razer,Model_112,M1,4.0,2048.0,NVIDIA RTX 3070,13.3,1.9,2018,3.9,2951.0,93,1854.0,327.91
Acer,Model_113,i5,32.0,1024.0,NVIDIA RTX 3080,16.0,1.9,2019,3.2,4915.0,58,2267.0,300.0
MSI,Model_114,i7,16.0,1024.0,NVIDIA RTX 3060,17.3,1.51,2020,4.8,987.0,34,2979.0,362.86
Apple,Model_115,i3,32.0,1024.0,Integrated,17.3,1.65,2022,4.0,3076.0,90,2407.0,306.11
Dell,Model_116,i3,32.0,256.0,NVIDIA GTX 1650,14.0,2.08,2019,4.0,793.0,48,1834.0,300.0
Acer,Model_117,i7,32.0,1024.0,Integrated,14.0,2.4,2022,3.4,250.0,22,1239.0,300.0
Razer,Model_118,Ryzen 5,32.0,512.0,AMD Radeon RX 6600M,17.3,2.49,2019,2.6,1563.0,29,640.0,300.0
Asus,Model_119,i7,64.0,128.0,NVIDIA GTX 1650,17.3,0.75,2020,2.6,4588.0,48,935.0,300.0
Razer,Model_120,i3,64.0,1024.0,NVIDIA GTX 1650,16.0,2.86,2020,3.6,1022.0,98,1807.0,389.55
Asus,Model_121,i3,8.0,128.0,Integrated,15.6,2.92,2021,2.7,196.0,54,482.0,300.0
HP,Model_122,M1,4.0,256.0,NVIDIA RTX 3070,14.0,2.9,2023,4.0,1891.0,25,1381.0,300.0
MSI,Model_123,i5,32.0,128.0,NVIDIA GTX 1650,15.6,2.03,2019,4.7,4596.0,31,1350.0,300.0
Asus,Model_124,,,,,16.0,2.34,2021,,,57,,300.0
Razer,Model_125,i5,4.0,512.0,NVIDIA GTX 1650,17.3,1.32,2019,4.1,248.0,96,973.0,300.0
HP,Model_126,i7,16.0,256.0,NVIDIA RTX 3050,15.6,2.5,2021,3.0,2355.0,38,2733.0,300.0
Dell,Model_127,Ryzen 9,64.0,256.0,NVIDIA RTX 3070,17.3,1.8,2020,4.7,85.0,86,1388.0,371.98
Apple,Model_128,i3,4.0,2048.0,NVIDIA RTX 3060,17.3,1.43,2022,4.7,1366.0,27,858.0,300.0
Apple,Model_129,M1,16.0,1024.0,NVIDIA GTX 1650,13.3,1.53,2024,3.0,4932.0,27,2573.0,331.2
Apple,Model_130,i5,4.0,1024.0,NVIDIA RTX 3050,15.6,2.67,2021,4.3,2340.0,66,1922.0,311.62
Asus,Model_131,i7,64.0,512.0,NVIDIA RTX 3060,15.6,1.13,2019,3.2,4696.0,23,2872.0,444.13
Dell,Model_132,M2,64.0,512.0,NVIDIA RTX 3060,17.3,1.87,2019,4.5,1912.0,70,2384.0,343.87
Asus,Model_133,Ryzen 9,8.0,1024.0,AMD Radeon RX 6600M,16.0,2.94,2024,5.0,4023.0,86,1966.0,300.0
MSI,Model_134,i9,32.0,2048.0,NVIDIA GTX 1650,13.3,1.73,2023,2.6,4680.0,64,2559.0,323.67
Asus,Model_135,Ryzen 5,4.0,1024.0,Integrated,17.3,1.84,2020,4.7,4997.0,27,2849.0,447.02
Dell,Model_136,i5,4.0,2048.0,NVIDIA GTX 1650,14.0,1.7,2019,4.1,2069.0,35,521.0,300.0
Dell,Model_137,M1,16.0,512.0,NVIDIA RTX 3050,14.0,2.17,2018,4.9,150.0,96,672.0,300.0
MSI,Model_138,i9,64.0,128.0,NVIDIA RTX 3060,13.3,1.55,2022,3.7,1799.0,86,1717.0,300.0
Dell,Model_139,M2,4.0,512.0,NVIDIA GTX 1650,16.0,1.84,2021,4.6,3636.0,28,797.0,362.21
Razer,Model_140,Ryzen 5,64.0,512.0,Integrated,17.3,1.27,2023,2.7,26.0,79,2918.0,410.35
Dell,Model_141,M2,4.0,256.0,AMD Radeon RX 6600M,15.6,1.97,2024,3.3,4358.0,97,1384.0,300.0
Apple,Model_142,i9,8.0,256.0,NVIDIA GTX 1650,13.3,2.08,2022,2.7,474.0,96,1630.0,300.0
Razer,Model_143,Ryzen 5,32.0,256.0,NVIDIA RTX 3070,16.0,1.08,2020,4.9,4481.0,90,1533.0,300.0
Razer,Model_144,M2,4.0,256.0,AMD Radeon RX 6600M,15.6,2.05,2023,4.5,1837.0,34,1701.0,300.0
MSI,Model_145,M1,64.0,2048.0,Integrated,14.0,0.98,2021,4.6,3038.0,90,2310.0,579.35
Lenovo,Model_146,i7,8.0,1024.0,NVIDIA RTX 3050,14.0,1.31,2021,4.8,529.0,60,1905.0,301.8
Lenovo,Model_147,i3,4.0,128.0,NVIDIA RTX 3060,15.6,1.47,2024,2.7,99.0,41,2316.0,300.0
Dell,Model_148,i7,16.0,512.0,NVIDIA GTX 1650,13.3,1.38,2018,3.5,4825.0,43,1219.0,300.0
Razer,Model_149,i9,32.0,2048.0,Integrated,14.0,1.49,2024,2.7,2861.0,63,2356.0,450.69
Lenovo,Model_150,i5,4.0,128.0,AMD Radeon RX 6600M,17.3,1.29,2020,3.0,2853.0,20,2768.0,351.8
Lenovo,Model_151,i3,8.0,2048.0,NVIDIA RTX 3070,15.6,2.25,2023,3.1,4735.0,29,578.0,300.0
Dell,Model_152,Ryzen 9,16.0,2048.0,Integrated,15.6,3.02,2023,3.7,1894.0,99,1296.0,309.46
Lenovo,Model_153,M1,8.0,512.0,NVIDIA RTX 3080,14.0,3.04,2019,3.2,4181.0,91,2666.0,328.78
Asus,Model_154,Ryzen 9,8.0,1024.0,NVIDIA RTX 3070,13.3,1.68,2018,2.8,935.0,75,2372.0,300.0
HP,Model_155,,,,,17.3,2.44,2018,,,69,,70000.0
MSI,Model_156,i3,8.0,1024.0,NVIDIA RTX 3050,13.3,1.92,2023,2.9,979.0,31,891.0,300.0
HP,Model_157,Ryzen 9,16.0,512.0,NVIDIA RTX 3060,16.0,2.74,2023,4.9,1104.0,79,460.0,300.0
Dell,Model_158,Ryzen 9,4.0,512.0,AMD Radeon RX 6600M,16.0,2.97,2022,4.4,3205.0,45,1477.0,300.0
Apple,Model_159,M2,16.0,512.0,NVIDIA RTX 3050,14.0,2.91,2022,4.9,1414.0,97,2103.0,351.8
MSI,Model_160,i7,16.0,128.0,NVIDIA GTX 1650,14.0,1.1,2022,3.6,3374.0,60,2985.0,368.45
Dell,Model_161,M2,32.0,1024.0,Integrated,14.0,1.62,2018,3.2,4300.0,55,464.0,361.51
Razer,Model_162,i3,16.0,1024.0,NVIDIA RTX 3080,16.0,1.01,2019,4.5,3992.0,42,985.0,300.0
Apple,Model_163,i3,16.0,2048.0,NVIDIA RTX 3070,13.3,1.34,2021,3.3,4333.0,62,2127.0,336.06
HP,Model_164,i9,4.0,2048.0,NVIDIA RTX 3070,13.3,1.89,2022,3.2,4023.0,25,2618.0,371.2
Dell,Model_165,M2,32.0,2048.0,Integrated,14.0,2.26,2019,3.1,4566.0,88,934.0,300.0
Razer,Model_166,Ryzen 7,64.0,512.0,NVIDIA RTX 3080,17.3,1.9,2024,2.8,4723.0,62,2555.0,394.57
MSI,Model_167,i7,4.0,1024.0,Integrated,13.3,1.47,2020,3.1,3102.0,44,2270.0,300.0
MSI,Model_168,i3,4.0,512.0,NVIDIA GTX 1650,16.0,2.41,2022,3.4,4169.0,37,1404.0,300.0
Acer,Model_169,i9,64.0,128.0,NVIDIA RTX 3050,15.6,2.09,2024,4.2,2084.0,81,2899.0,300.0
Razer,Model_170,M2,16.0,2048.0,AMD Radeon RX 6600M,15.6,1.17,2021,2.7,294.0,32,1629.0,396.69
Asus,Model_171,i7,8.0,512.0,NVIDIA RTX 3070,15.6,2.06,2020,3.0,4943.0,62,1439.0,300.0
Lenovo,Model_172,M2,32.0,512.0,NVIDIA GTX 1650,17.3,1.62,2020,4.5,4936.0,97,726.0,333.56
Apple,Model_173,Ryzen 9,8.0,128.0,NVIDIA RTX 3050,14.0,1.57,2021,2.9,1197.0,47,1007.0,300.0
Razer,Model_174,i9,64.0,256.0,NVIDIA GTX 1650,16.0,3.21,2022,3.4,3979.0,37,401.0,300.0
Acer,Model_175,i7,4.0,1024.0,NVIDIA RTX 3080,17.3,2.98,2018,4.7,2975.0,78,1433.0,328.62
Lenovo,Model_176,Ryzen 5,4.0,256.0,NVIDIA RTX 3070,16.0,1.93,2021,2.9,4329.0,79,2881.0,332.76
Lenovo,Model_177,Ryzen 5,32.0,2048.0,AMD Radeon RX 6600M,16.0,1.59,2021,2.7,793.0,82,524.0,300.0
Dell,Model_178,i7,4.0,512.0,Integrated,14.0,1.49,2021,3.7,959.0,76,1504.0,300.0
Lenovo,Model_179,M2,4.0,128.0,Integrated,15.6,2.66,2020,3.3,3949.0,70,2932.0,312.36
Asus,Model_180,i9,32.0,128.0,NVIDIA RTX 3050,14.0,1.88,2019,3.9,54.0,75,2261.0,347.93
MSI,Model_181,Ryzen 5,32.0,1024.0,AMD Radeon RX 6600M,17.3,1.82,2024,4.5,1820.0,46,1573.0,446.74
Acer,Model_182,i9,64.0,256.0,NVIDIA RTX 3060,17.3,1.33,2018,2.8,4576.0,51,528.0,300.0
Lenovo,Model_183,Ryzen 5,4.0,1024.0,NVIDIA RTX 3080,17.3,2.73,2022,4.0,2091.0,28,837.0,300.0
Dell,Model_184,Ryzen 9,4.0,512.0,NVIDIA RTX 3050,14.0,1.56,2022,3.8,3508.0,87,1150.0,327.31
Asus,Model_185,M2,64.0,1024.0,NVIDIA RTX 3060,16.0,1.63,2024,2.9,839.0,65,2948.0,490.04
HP,Model_186,Ryzen 9,16.0,128.0,NVIDIA GTX 1650,16.0,1.12,2019,4.1,1919.0,86,1621.0,300.0
MSI,Model_187,Ryzen 5,16.0,128.0,NVIDIA RTX 3080,13.3,1.63,2021,3.2,2591.0,45,2658.0,300.0
MSI,Model_188,Ryzen 9,16.0,2048.0,NVIDIA GTX 1650,17.3,2.93,2018,3.7,701.0,27,1301.0,300.0
Acer,Model_189,Ryzen 5,64.0,2048.0,AMD Radeon RX 6600M,16.0,1.22,2022,2.7,4029.0,25,2492.0,589.18
MSI,Model_190,i7,4.0,512.0,NVIDIA RTX 3070,13.3,0.99,2024,3.6,941.0,99,1702.0,300.0
Lenovo,Model_191,Ryzen 9,64.0,256.0,NVIDIA RTX 3080,16.0,2.97,2023,3.3,4946.0,43,2982.0,447.95
Dell,Model_192,i5,64.0,1024.0,NVIDIA RTX 3060,17.3,2.51,2024,4.6,3416.0,67,1833.0,300.0
MSI,Model_193,M2,16.0,512.0,NVIDIA RTX 3070,15.6,2.3,2022,2.6,157.0,64,2908.0,419.67
MSI,Model_194,,,,,17.3,2.65,2021,,,32,,300.0
HP,Model_195,Ryzen 7,4.0,1024.0,NVIDIA RTX 3060,14.0,1.0,2023,3.6,1321.0,88,1467.0,300.0
HP,Model_196,Ryzen 9,16.0,2048.0,NVIDIA RTX 3050,16.0,1.25,2019,4.3,397.0,44,426.0,300.0
Apple,Model_197,M1,8.0,1024.0,Integrated,16.0,0.9,2018,3.9,3131.0,39,947.0,300.0
Asus,Model_198,M2,8.0,256.0,Integrated,14.0,1.49,2019,4.2,1883.0,85,966.0,300.0
Lenovo,Model_199,i5,32.0,512.0,NVIDIA RTX 3050,14.0,1.76,2019,4.4,3598.0,93,1103.0,300.0
MSI,Model_200,i5,4.0,1024.0,NVIDIA RTX 3080,15.6,2.98,2024,4.7,925.0,64,1642.0,300.0
Razer,Model_201,Ryzen 5,8.0,128.0,Integrated,16.0,1.46,2018,3.3,1888.0,66,584.0,300.0
MSI,Model_202,Ryzen 5,16.0,128.0,AMD Radeon RX 6600M,16.0,1.5,2018,3.8,3758.0,82,1990.0,325.96
Dell,Model_203,Ryzen 7,32.0,1024.0,NVIDIA RTX 3060,15.6,1.45,2022,4.6,287.0,95,2313.0,413.97
Apple,Model_204,i7,4.0,1024.0,NVIDIA RTX 3070,13.3,1.8,2022,5.0,1987.0,96,1247.0,334.13
Asus,Model_205,M1,64.0,1024.0,Integrated,15.6,1.41,2018,4.7,1869.0,74,998.0,300.0
Razer,Model_206,i3,16.0,128.0,NVIDIA RTX 3060,17.3,0.86,2023,3.4,3046.0,94,1205.0,300.0
Apple,Model_207,Ryzen 7,8.0,128.0,NVIDIA GTX 1650,16.0,1.32,2020,3.0,3381.0,38,1757.0,300.0
Acer,Model_208,i9,8.0,1024.0,NVIDIA RTX 3060,14.0,2.14,2022,3.7,4723.0,54,2526.0,342.41
Asus,Model_209,i3,16.0,2048.0,NVIDIA RTX 3070,17.3,2.14,2020,4.4,2192.0,72,2278.0,452.03
MSI,Model_210,Ryzen 9,8.0,2048.0,NVIDIA RTX 3060,16.0,1.19,2024,3.7,4685.0,45,2860.0,381.1
MSI,Model_211,M2,32.0,256.0,NVIDIA RTX 3050,15.6,1.5,2023,3.7,1180.0,33,945.0,300.0
Asus,Model_212,i9,4.0,512.0,NVIDIA RTX 3070,17.3,2.63,2018,4.6,499.0,64,2032.0,300.0
MSI,Model_213,i9,32.0,2048.0,NVIDIA RTX 3080,16.0,1.62,2023,3.4,2535.0,63,2616.0,488.78
Lenovo,Model_214,Ryzen 7,8.0,128.0,NVIDIA GTX 1650,13.3,1.93,2022,4.6,1192.0,84,2962.0,338.69
Asus,Model_215,i7,64.0,2048.0,NVIDIA RTX 3050,13.3,1.69,2019,3.5,4489.0,70,2479.0,421.26
Apple,Model_216,Ryzen 7,4.0,256.0,NVIDIA RTX 3080,14.0,1.12,2024,3.3,4268.0,62,2734.0,318.89
